Date,Open,High,Low,Close
12/27/2021,"7,372.10","7,372.10","7,372.10","7,372.10"
12/24/2021,"7,373.34","7,403.65","7,368.83","7,372.10"
12/23/2021,"7,341.66","7,385.42","7,331.05","7,373.34"
12/22/2021,"7,297.41","7,341.66","7,273.45","7,341.66"
12/21/2021,"7,198.03","7,297.41","7,198.03","7,297.41"
12/20/2021,"7,269.92","7,269.92","7,101.04","7,198.03"
12/17/2021,"7,260.61","7,286.50","7,236.17","7,269.92"
12/16/2021,"7,170.75","7,273.34","7,170.75","7,260.61"
12/15/2021,"7,218.64","7,224.85","7,166.83","7,170.75"
12/14/2021,"7,231.44","7,284.47","7,218.64","7,218.64"
12/13/2021,"7,291.78","7,309.23","7,226.63","7,231.44"
12/10/2021,"7,321.26","7,331.58","7,284.82","7,291.78"
12/09/2021,"7,337.05","7,366.10","7,302.96","7,321.26"
12/08/2021,"7,339.90","7,378.92","7,333.56","7,337.05"
12/07/2021,"7,232.28","7,344.69","7,232.28","7,339.90"
12/06/2021,"7,122.32","7,246.25","7,122.32","7,232.28"
12/03/2021,"7,129.21","7,196.05","7,105.29","7,122.32"
12/02/2021,"7,168.68","7,168.68","7,083.21","7,129.21"
12/01/2021,"7,059.45","7,182.01","7,059.35","7,168.68"
11/30/2021,"7,109.95","7,109.95","6,989.66","7,059.45"
11/29/2021,"7,044.03","7,161.91","7,044.03","7,109.95"
11/26/2021,"7,310.37","7,310.37","7,042.12","7,044.03"
11/25/2021,"7,286.32","7,311.94","7,286.32","7,310.37"
11/24/2021,"7,266.69","7,307.89","7,245.98","7,286.32"
11/23/2021,"7,255.46","7,293.07","7,204.37","7,266.69"
11/22/2021,"7,223.57","7,272.63","7,207.81","7,255.46"
11/19/2021,"7,255.96","7,289.51","7,198.76","7,223.57"
11/18/2021,"7,291.20","7,291.26","7,241.99","7,255.96"
11/17/2021,"7,326.97","7,326.97","7,289.98","7,291.20"
11/16/2021,"7,351.86","7,368.25","7,324.13","7,326.97"
11/15/2021,"7,347.91","7,363.48","7,324.11","7,351.86"
11/12/2021,"7,384.18","7,402.68","7,340.49","7,347.91"
11/11/2021,"7,340.15","7,394.41","7,329.68","7,384.18"
11/10/2021,"7,274.04","7,340.15","7,270.11","7,340.15"
11/09/2021,"7,300.40","7,314.13","7,268.79","7,274.04"
11/08/2021,"7,303.96","7,316.54","7,293.50","7,300.40"
11/05/2021,"7,279.91","7,331.25","7,270.03","7,303.96"
11/04/2021,"7,248.89","7,292.96","7,247.59","7,279.91"
11/03/2021,"7,274.81","7,277.64","7,235.32","7,248.89"
11/02/2021,"7,288.62","7,288.62","7,240.02","7,274.81"
11/01/2021,"7,237.57","7,303.39","7,237.57","7,288.62"
10/29/2021,"7,249.47","7,249.47","7,192.05","7,237.57"
10/28/2021,"7,253.27","7,257.85","7,219.71","7,249.47"
10/27/2021,"7,277.62","7,280.45","7,247.25","7,253.27"
10/26/2021,"7,222.82","7,281.17","7,222.82","7,277.62"
10/25/2021,"7,204.55","7,247.53","7,204.55","7,222.82"
10/22/2021,"7,190.30","7,235.19","7,190.30","7,204.55"
10/21/2021,"7,223.10","7,227.06","7,181.70","7,190.30"
10/20/2021,"7,217.53","7,229.26","7,199.29","7,223.10"
10/19/2021,"7,203.83","7,223.29","7,189.50","7,217.53"
10/18/2021,"7,234.03","7,234.03","7,180.20","7,203.83"
10/15/2021,"7,207.71","7,243.85","7,206.26","7,234.03"
10/14/2021,"7,141.82","7,216.15","7,141.82","7,207.71"
10/13/2021,"7,130.23","7,152.87","7,087.93","7,141.82"
10/12/2021,"7,146.85","7,146.85","7,063.43","7,130.23"
10/11/2021,"7,095.55","7,146.85","7,085.85","7,146.85"
10/08/2021,"7,078.04","7,109.34","7,070.53","7,095.55"
10/07/2021,"6,995.87","7,094.93","6,995.87","7,078.04"
10/06/2021,"7,077.10","7,077.10","6,945.50","6,995.87"
10/05/2021,"7,011.01","7,084.52","7,011.01","7,077.10"
10/04/2021,"7,027.07","7,072.48","7,002.72","7,011.01"
10/01/2021,"7,086.42","7,086.42","6,989.64","7,027.07"
09/30/2021,"7,108.16","7,159.61","7,072.57","7,086.42"
09/29/2021,"7,028.10","7,117.52","7,026.85","7,108.16"
09/28/2021,"7,063.40","7,071.36","7,015.58","7,028.10"
09/27/2021,"7,051.48","7,122.09","7,043.21","7,063.40"
09/24/2021,"7,078.35","7,080.23","7,041.34","7,051.48"
09/23/2021,"7,083.37","7,131.43","7,070.68","7,078.35"
09/22/2021,"6,980.98","7,090.48","6,980.98","7,083.37"
09/21/2021,"6,903.91","7,004.88","6,903.91","6,980.98"
09/20/2021,"6,963.64","6,963.64","6,828.28","6,903.91"
09/17/2021,"7,027.48","7,092.69","6,941.69","6,963.64"
09/16/2021,"7,016.49","7,058.99","7,016.32","7,027.48"
09/15/2021,"7,034.06","7,047.27","7,016.49","7,016.49"
09/14/2021,"7,068.43","7,068.45","7,020.10","7,034.06"
09/13/2021,"7,029.20","7,090.81","7,029.20","7,068.43"
09/10/2021,"7,024.21","7,055.22","7,014.42","7,029.20"
09/09/2021,"7,095.53","7,095.53","6,998.62","7,024.21"
09/08/2021,"7,149.37","7,149.37","7,061.13","7,095.53"
09/07/2021,"7,187.18","7,187.18","7,147.94","7,149.37"
09/06/2021,"7,138.35","7,195.62","7,138.35","7,187.18"
09/03/2021,"7,163.90","7,182.23","7,123.87","7,138.35"
09/02/2021,"7,149.84","7,168.78","7,129.71","7,163.90"
09/01/2021,"7,119.70","7,187.34","7,119.70","7,149.84"
08/31/2021,"7,148.01","7,160.49","7,092.03","7,119.70"
08/27/2021,"7,124.98","7,157.60","7,108.53","7,148.01"
08/26/2021,"7,150.12","7,150.12","7,095.43","7,124.98"
08/25/2021,"7,125.78","7,151.75","7,121.29","7,150.12"
08/24/2021,"7,109.02","7,129.66","7,076.06","7,125.78"
08/23/2021,"7,087.90","7,147.80","7,087.90","7,109.02"
08/20/2021,"7,058.86","7,095.61","7,032.45","7,087.90"
08/19/2021,"7,169.32","7,169.32","6,993.06","7,058.86"
08/18/2021,"7,181.11","7,198.79","7,143.55","7,169.32"
08/17/2021,"7,153.98","7,188.55","7,118.67","7,181.11"
08/16/2021,"7,218.71","7,218.71","7,117.78","7,153.98"
08/13/2021,"7,193.23","7,224.46","7,193.13","7,218.71"
08/12/2021,"7,220.14","7,220.70","7,182.92","7,193.23"
08/11/2021,"7,161.04","7,220.14","7,157.74","7,220.14"
08/10/2021,"7,132.30","7,166.67","7,115.87","7,161.04"
08/09/2021,"7,122.95","7,138.80","7,089.74","7,132.30"
08/06/2021,"7,120.43","7,135.39","7,103.71","7,122.95"
08/05/2021,"7,123.86","7,130.35","7,099.03","7,120.43"
08/04/2021,"7,105.72","7,142.54","7,105.72","7,123.86"
08/03/2021,"7,081.72","7,119.19","7,074.32","7,105.72"
08/02/2021,"7,032.30","7,111.66","7,032.30","7,081.72"
07/30/2021,"7,078.42","7,078.42","6,996.93","7,032.30"
07/29/2021,"7,016.63","7,093.93","7,008.65","7,078.42"
07/28/2021,"6,996.08","7,023.35","6,974.80","7,016.63"
07/27/2021,"7,025.43","7,028.37","6,929.64","6,996.08"
07/26/2021,"7,027.58","7,038.65","6,980.67","7,025.43"
07/23/2021,"6,968.30","7,033.27","6,968.30","7,027.58"
07/22/2021,"6,998.28","7,018.95","6,956.24","6,968.30"
07/21/2021,"6,881.13","7,007.75","6,881.13","6,998.28"
07/20/2021,"6,844.39","6,929.89","6,827.26","6,881.13"
07/19/2021,"7,008.09","7,008.09","6,813.03","6,844.39"
07/16/2021,"7,012.02","7,056.73","6,978.06","7,008.09"
07/15/2021,"7,091.19","7,111.77","7,005.02","7,012.02"
07/14/2021,"7,124.72","7,124.72","7,073.59","7,091.19"
07/13/2021,"7,125.42","7,152.44","7,116.26","7,124.72"
07/12/2021,"7,121.88","7,134.87","7,066.20","7,125.42"
07/09/2021,"7,030.66","7,121.88","7,030.22","7,121.88"
07/08/2021,"7,151.02","7,151.02","6,981.57","7,030.66"
07/07/2021,"7,100.88","7,153.68","7,100.88","7,151.02"
07/06/2021,"7,164.91","7,170.60","7,075.73","7,100.88"
07/05/2021,"7,123.27","7,168.03","7,111.51","7,164.91"
07/02/2021,"7,125.16","7,162.16","7,110.30","7,123.27"
07/01/2021,"7,037.47","7,134.21","7,037.47","7,125.16"
06/30/2021,"7,087.55","7,100.71","7,010.57","7,037.47"
06/29/2021,"7,072.97","7,120.77","7,071.86","7,087.55"
06/28/2021,"7,136.07","7,136.22","7,071.95","7,072.97"
06/25/2021,"7,109.97","7,139.08","7,109.79","7,136.07"
06/24/2021,"7,074.06","7,119.41","7,070.90","7,109.97"
06/23/2021,"7,090.01","7,129.40","7,074.06","7,074.06"
06/22/2021,"7,062.29","7,098.67","7,061.13","7,090.01"
06/21/2021,"7,017.47","7,065.05","6,948.63","7,062.29"
06/18/2021,"7,153.43","7,154.63","7,008.74","7,017.47"
06/17/2021,"7,184.95","7,184.95","7,132.96","7,153.43"
06/16/2021,"7,172.48","7,217.54","7,169.21","7,184.95"
06/15/2021,"7,146.68","7,189.63","7,142.71","7,172.48"
06/14/2021,"7,134.06","7,188.26","7,131.79","7,146.68"
06/11/2021,"7,088.18","7,140.70","7,088.18","7,134.06"
06/10/2021,"7,081.01","7,117.74","7,080.02","7,088.18"
06/09/2021,"7,095.09","7,095.72","7,046.02","7,081.01"
06/08/2021,"7,077.22","7,120.73","7,074.94","7,095.09"
06/07/2021,"7,069.04","7,098.31","7,042.19","7,077.22"
06/04/2021,"7,064.35","7,071.81","7,039.74","7,069.04"
06/03/2021,"7,108.00","7,108.04","7,013.85","7,064.35"
06/02/2021,"7,080.46","7,122.54","7,074.06","7,108.00"
06/01/2021,"7,022.61","7,118.03","7,022.61","7,080.46"
05/28/2021,"7,019.67","7,054.91","7,019.58","7,022.61"
05/27/2021,"7,026.93","7,044.01","7,008.53","7,019.67"
05/26/2021,"7,029.79","7,050.88","6,998.19","7,026.93"
05/25/2021,"7,051.59","7,067.60","7,029.79","7,029.79"
05/24/2021,"7,018.05","7,054.63","7,013.51","7,051.59"
05/21/2021,"7,019.79","7,028.17","6,973.31","7,018.05"
05/20/2021,"6,950.20","7,019.79","6,926.85","7,019.79"
05/19/2021,"7,034.24","7,034.24","6,897.06","6,950.20"
05/18/2021,"7,032.85","7,102.57","7,030.37","7,034.24"
05/17/2021,"7,043.61","7,066.76","6,989.11","7,032.85"
05/14/2021,"6,963.33","7,048.67","6,963.33","7,043.61"
05/13/2021,"7,004.63","7,004.63","6,823.60","6,963.33"
05/12/2021,"6,947.99","7,028.10","6,945.33","7,004.63"
05/11/2021,"7,123.68","7,123.68","6,912.36","6,947.99"
05/10/2021,"7,129.71","7,164.18","7,104.40","7,123.68"
05/07/2021,"7,076.17","7,143.46","7,076.17","7,129.71"
05/06/2021,"7,039.30","7,076.17","7,026.75","7,076.17"
05/05/2021,"6,923.17","7,047.75","6,923.17","7,039.30"
05/04/2021,"6,969.81","7,034.26","6,912.28","6,923.17"
04/30/2021,"6,961.48","7,009.47","6,946.04","6,969.81"
04/29/2021,"6,963.67","7,019.76","6,953.87","6,961.48"
04/28/2021,"6,944.97","6,986.70","6,944.06","6,963.67"
04/27/2021,"6,963.12","6,975.07","6,929.77","6,944.97"
04/26/2021,"6,938.56","6,971.52","6,913.39","6,963.12"
04/23/2021,"6,938.24","6,938.56","6,891.75","6,938.56"
04/22/2021,"6,895.29","6,941.11","6,889.32","6,938.24"
04/21/2021,"6,859.87","6,914.88","6,859.61","6,895.29"
04/20/2021,"7,000.08","7,001.27","6,857.07","6,859.87"
04/19/2021,"7,019.53","7,040.26","6,979.23","7,000.08"
04/16/2021,"6,983.50","7,037.65","6,983.50","7,019.53"
04/15/2021,"6,939.58","6,994.90","6,939.26","6,983.50"
04/14/2021,"6,890.49","6,942.33","6,880.67","6,939.58"
04/13/2021,"6,889.12","6,895.13","6,859.72","6,890.49"
04/12/2021,"6,915.75","6,916.08","6,853.75","6,889.12"
04/09/2021,"6,942.22","6,949.56","6,906.37","6,915.75"
04/08/2021,"6,885.32","6,942.22","6,884.79","6,942.22"
04/07/2021,"6,823.55","6,898.38","6,823.55","6,885.32"
04/06/2021,"6,737.30","6,843.73","6,737.30","6,823.55"
04/05/2021,"6,713.63","6,766.52","6,713.63","6,737.30"
04/02/2021,"6,713.63","6,766.52","6,713.63","6,737.30"
04/01/2021,"6,713.63","6,766.52","6,713.63","6,737.30"
03/31/2021,"6,772.12","6,775.67","6,713.63","6,713.63"
03/30/2021,"6,736.17","6,792.23","6,729.46","6,772.12"
03/29/2021,"6,740.59","6,758.78","6,705.42","6,736.17"
03/26/2021,"6,674.83","6,742.14","6,674.83","6,740.59"
03/25/2021,"6,712.89","6,729.92","6,618.61","6,674.83"
03/24/2021,"6,699.19","6,722.61","6,649.37","6,712.89"
03/23/2021,"6,726.10","6,726.10","6,664.76","6,699.19"
03/22/2021,"6,708.71","6,732.67","6,650.96","6,726.10"
